낙타
하마
팬더
다람쥐
코뿔소
거위
거북이
금붕어
기린
뱀
코브라
코끼리
상어
조개
오징어
불가사리
고래
돌고래
갈매기
악어
팽귄
코알라
개구리
타조
호랑이
사자
고양이
개
말
고슴도치
소
양
참새
앵무새
독수리
부엉이
침팬치
얼룩말
너구리
원숭이
캥거루
염소
닭
표범
곰
병아리
토끼
오리
여우
돼지
